User_ID,Product_ID,Category,Price,Rating,Browsing_Time,Previous_Purchases,Cart_Addition,Purchase_Status,Age,Gender,Location,Discount_Applied,Total_Spending
100001,5033,Electronics,1360,2,0.0,0,0,0,56,Male,North,0,0
100002,5038,Fashion,4272,2,64.0,0,0,0,46,Female,North,0,0
100003,5266,Home,3592,2,0.0,0,0,0,32,Male,Rural,0,0
100004,5120,Books,966,2,2.666666667,0,0,0,25,Male,South,0,0
100005,5191,Books,4926,2,627.5,2,0,0,38,Male,North,0,0
100006,5255,Home,3944,2,154.2166667,3,0,0,56,Female,North,0,0
100007,5044,Home,3671,2,0.0,0,0,0,36,Male,East,1,0
100008,5199,Sports,3419,2,0.0,0,0,0,40,Male,North,0,0
100009,5236,Home,630,2,37.0,0,0,0,28,Male,South,1,0
100010,5180,Fashion,2185,2,738.0,0,0,0,28,Female,North,1,0
100011,5267,Home,1269,2,395.0,0,0,0,41,Male,East,0,0
100012,5075,Home,2891,2,407.75,3,0,0,53,Male,West,1,0
100013,5088,Home,2933,2,280.5,1,0,0,57,Male,North,0,0
100014,5076,Home,1684,2,98.0,1,0,0,41,Male,North,0,0
100015,5173,Home,3885,2,68.0,0,0,0,20,Female,East,0,0
100016,5052,Home,4617,2,1721.285119,4,0,0,39,Male,Rural,0,0
100017,5105,Home,3404,2,0.0,0,0,0,19,Female,West,0,0
100018,5103,Books,974,2,334.9666667,2,0,0,41,Female,North,0,0
100019,5154,Home,1582,2,32.0,0,0,0,47,Female,North,0,0
100020,5256,Books,3058,2,2981.166667,4,0,0,55,Male,West,0,0
100021,5281,Electronics,2547,2,136.1666667,1,0,0,19,Female,Central,1,0
100022,5034,Home,3247,2,0.0,0,0,0,38,Male,North,0,0
100023,5275,Sports,1475,2,105.0,0,0,0,50,Female,North,0,0
100024,5180,Home,2306,2,15.0,0,0,0,29,Female,North,1,0
100025,5252,Electronics,689,2,0.0,0,0,0,39,Female,West,0,0
100026,5164,Home,3234,2,156.0,1,0,0,42,Female,Rural,0,0
100027,5051,Home,3505,2,1200.0444439999999,6,0,0,44,Female,North,0,0
100028,5110,Home,2399,2,76.0,0,0,0,59,Female,North,0,0
100029,5287,Home,1767,2,63.0,0,0,0,45,Female,North,1,0
100030,5033,Electronics,2028,5,1588.75,9,1,0,33,Female,North,1,0
100031,5128,Home,3702,2,35.0,0,0,0,32,Male,North-East,0,0
100032,5145,Beauty,4056,2,78.0,0,0,0,20,Male,North-East,0,0
100033,5270,Electronics,4390,2,209.5,1,0,0,54,Female,North,0,0
100034,5078,Electronics,1146,2,183.6666667,2,0,0,24,Female,East,0,0
100035,5120,Electronics,3388,2,380.5,2,0,0,38,Female,North,0,0
100036,5133,Electronics,2935,2,2086.242857,10,0,0,26,Male,International,0,0
100037,5106,Books,1100,2,388.0,1,0,0,56,Female,North,0,0
100038,5068,Books,2863,2,316.0,1,0,0,35,Male,Urban,1,0
100039,5183,Home,2561,2,63.0,1,0,0,21,Male,North,1,0
100040,5227,Beauty,741,2,482.0,1,0,0,42,Male,North,0,0
100041,5243,Books,2541,2,4093.393939,9,0,0,31,Male,Urban,0,0
100042,5028,Fashion,3324,2,22.0,0,0,0,26,Male,East,1,0
100043,5145,Books,3112,2,310.1666667,3,0,0,43,Female,West,0,0
100044,5018,Home,1863,2,34.0,0,0,0,19,Female,South,1,0
100045,5107,Home,1978,2,88.0,0,0,0,37,Female,North,0,0
